"Table 28. Any Mental Illness in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2017 and 2018 NSDUHs  ",,,,,,,,,,
"NOTE: Any mental illness (AMI) is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder, assessed by the Mental Health Surveillance Study (MHSS) Structured Clinical Interview for the Diagnostic and Statistical Manual of Mental Disorders—Fourth Edition—Research Version—Axis I Disorders (MHSS-SCID), which is based on the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV). For details, see Section B of the ""2017-2018 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at https://www.samhsa.gov/data/.",,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2017 and 2018.",,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
33,Nebraska,18.08%,16.19%,20.14%,26.49%,23.30%,29.94%,16.60%,14.50%,18.93%
34,Nevada,20.67%,18.40%,23.13%,27.17%,23.85%,30.77%,19.75%,17.25%,22.51%
35,New Hampshire,20.56%,18.36%,22.96%,28.85%,25.25%,32.73%,19.30%,16.90%,21.95%
36,New Jersey,16.14%,14.47%,17.96%,23.25%,20.56%,26.17%,15.09%,13.27%,17.11%
37,New Mexico,19.10%,16.97%,21.43%,25.43%,22.39%,28.73%,18.07%,15.72%,20.69%
38,New York,18.25%,17.01%,19.56%,25.96%,23.95%,28.08%,17.03%,15.64%,18.51%
39,North Carolina,18.77%,17.11%,20.56%,25.52%,22.80%,28.44%,17.72%,15.87%,19.72%
40,North Dakota,19.13%,17.22%,21.19%,27.22%,23.98%,30.71%,17.51%,15.38%,19.87%
41,Ohio,21.40%,19.94%,22.93%,27.99%,25.73%,30.37%,20.36%,18.74%,22.08%
42,Oklahoma,20.43%,18.39%,22.62%,27.50%,24.09%,31.19%,19.23%,16.97%,21.71%
43,Oregon,22.45%,20.26%,24.80%,29.56%,26.37%,32.97%,21.40%,19.00%,24.02%
44,Pennsylvania,18.23%,16.90%,19.63%,27.16%,24.92%,29.51%,16.87%,15.39%,18.45%
45,Rhode Island,21.32%,19.12%,23.70%,24.97%,21.87%,28.34%,20.68%,18.20%,23.40%
46,South Carolina,18.31%,16.31%,20.51%,23.53%,20.81%,26.49%,17.52%,15.29%,20.00%
47,South Dakota,17.49%,15.56%,19.60%,28.51%,25.25%,32.01%,15.65%,13.53%,18.02%
48,Tennessee,18.26%,16.31%,20.39%,25.39%,22.26%,28.78%,17.16%,14.99%,19.57%
49,Texas,16.21%,15.05%,17.44%,21.42%,19.61%,23.35%,15.29%,13.99%,16.69%
50,Utah,25.25%,23.12%,27.50%,30.79%,27.48%,34.31%,24.02%,21.61%,26.60%
51,Vermont,20.65%,18.56%,22.91%,29.59%,26.21%,33.20%,19.10%,16.79%,21.66%
52,Virginia,17.38%,15.75%,19.14%,25.57%,23.04%,28.27%,16.08%,14.28%,18.06%
53,Washington,22.23%,20.11%,24.51%,29.52%,26.27%,32.99%,21.15%,18.81%,23.69%
54,West Virginia,23.80%,21.47%,26.29%,26.28%,23.01%,29.84%,23.44%,20.86%,26.24%
55,Wisconsin,19.26%,17.28%,21.42%,27.49%,24.41%,30.79%,17.94%,15.74%,20.36%
56,Wyoming,20.34%,18.22%,22.63%,28.46%,25.19%,31.97%,19.09%,16.75%,21.67%
