"Table 2. Marijuana Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2017 and 2018 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2017 and 2018.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
19,Illinois,15.27%,14.10%,16.52%,13.94%,12.18%,15.92%,34.93%,32.14%,37.83%,12.31%,11.00%,13.75%,15.41%,14.16%,16.75%
20,Indiana,15.61%,13.85%,17.56%,13.01%,10.76%,15.65%,35.80%,31.82%,39.98%,12.46%,10.55%,14.67%,15.89%,14.02%,17.96%
21,Iowa,12.41%,10.95%,14.04%,10.42%,8.43%,12.82%,31.69%,27.85%,35.79%,9.25%,7.72%,11.04%,12.61%,11.06%,14.35%
22,Kansas,13.71%,11.98%,15.64%,11.68%,9.63%,14.10%,29.44%,25.80%,33.36%,11.19%,9.30%,13.41%,13.93%,12.09%,16.00%
23,Kentucky,12.87%,11.24%,14.70%,11.62%,9.58%,14.04%,27.04%,23.61%,30.76%,10.75%,8.96%,12.84%,13.00%,11.27%,14.94%
24,Louisiana,12.22%,10.67%,13.96%,9.16%,7.37%,11.32%,28.68%,25.14%,32.51%,9.95%,8.30%,11.89%,12.54%,10.90%,14.40%
25,Maine,23.85%,21.45%,26.43%,15.70%,13.08%,18.73%,49.15%,44.78%,53.54%,21.34%,18.61%,24.35%,24.53%,21.98%,27.27%
26,Maryland,14.59%,12.90%,16.47%,12.33%,10.16%,14.88%,37.68%,33.60%,41.93%,11.39%,9.58%,13.48%,14.81%,13.01%,16.82%
27,Massachusetts,20.56%,18.56%,22.71%,17.07%,14.34%,20.20%,46.36%,42.03%,50.74%,16.52%,14.31%,19.00%,20.87%,18.75%,23.16%
28,Michigan,18.45%,17.18%,19.80%,13.78%,12.10%,15.65%,40.92%,38.24%,43.65%,15.28%,13.80%,16.89%,18.91%,17.55%,20.36%
29,Minnesota,15.58%,13.90%,17.42%,12.46%,10.29%,15.02%,36.96%,33.05%,41.05%,12.61%,10.80%,14.67%,15.90%,14.12%,17.86%
30,Mississippi,11.58%,10.11%,13.24%,10.77%,8.80%,13.13%,24.71%,21.17%,28.62%,9.45%,7.88%,11.29%,11.67%,10.11%,13.43%
31,Missouri,14.57%,12.86%,16.46%,12.10%,9.98%,14.59%,31.90%,28.12%,35.92%,12.10%,10.26%,14.22%,14.82%,13.01%,16.83%
32,Montana,19.61%,17.66%,21.72%,14.69%,12.27%,17.50%,40.15%,35.95%,44.50%,16.92%,14.78%,19.30%,20.07%,18.00%,22.31%
33,Nebraska,12.68%,11.19%,14.33%,12.46%,10.23%,15.10%,31.94%,28.15%,35.98%,9.31%,7.76%,11.13%,12.70%,11.14%,14.45%
34,Nevada,21.85%,19.53%,24.36%,14.27%,11.71%,17.27%,42.55%,38.32%,46.89%,19.79%,17.15%,22.72%,22.61%,20.13%,25.30%
35,New Hampshire,20.49%,18.38%,22.78%,16.07%,13.52%,18.98%,45.17%,40.50%,49.94%,17.19%,14.93%,19.72%,20.89%,18.65%,23.31%
36,New Jersey,12.30%,11.04%,13.68%,11.07%,9.25%,13.20%,33.96%,30.53%,37.56%,9.27%,7.93%,10.80%,12.42%,11.09%,13.89%
37,New Mexico,18.72%,16.54%,21.11%,16.18%,13.47%,19.31%,33.37%,29.40%,37.59%,16.66%,14.18%,19.47%,18.99%,16.67%,21.55%
38,New York,15.28%,14.24%,16.37%,12.49%,11.03%,14.11%,37.99%,35.51%,40.52%,11.98%,10.80%,13.27%,15.53%,14.43%,16.69%
39,North Carolina,12.81%,11.50%,14.26%,11.40%,9.61%,13.46%,30.50%,27.25%,33.95%,10.21%,8.78%,11.84%,12.96%,11.55%,14.51%
40,North Dakota,11.96%,10.49%,13.61%,9.80%,7.86%,12.15%,27.49%,23.76%,31.57%,9.11%,7.57%,10.93%,12.17%,10.62%,13.90%
41,Ohio,13.76%,12.71%,14.88%,11.72%,10.18%,13.46%,34.75%,32.15%,37.44%,10.69%,9.51%,12.00%,13.96%,12.85%,15.16%
42,Oklahoma,12.93%,11.32%,14.72%,10.85%,8.76%,13.37%,30.16%,26.28%,34.34%,10.28%,8.57%,12.28%,13.15%,11.45%,15.06%
43,Oregon,27.53%,25.23%,29.95%,16.09%,13.49%,19.08%,49.57%,45.26%,53.88%,25.48%,22.85%,28.30%,28.56%,26.10%,31.15%
44,Pennsylvania,14.18%,13.06%,15.39%,11.03%,9.53%,12.72%,34.65%,32.03%,37.37%,11.41%,10.15%,12.80%,14.47%,13.28%,15.76%
45,Rhode Island,20.74%,18.72%,22.92%,15.36%,12.86%,18.26%,42.90%,38.63%,47.29%,17.39%,15.17%,19.86%,21.21%,19.07%,23.52%
46,South Carolina,13.69%,11.99%,15.57%,12.32%,10.16%,14.87%,29.50%,25.83%,33.44%,11.44%,9.61%,13.55%,13.82%,12.04%,15.81%
47,South Dakota,12.12%,10.58%,13.85%,10.83%,8.80%,13.25%,28.62%,24.88%,32.67%,9.52%,7.89%,11.45%,12.26%,10.63%,14.10%
48,Tennessee,13.09%,11.52%,14.83%,11.61%,9.62%,13.96%,29.95%,26.27%,33.91%,10.64%,8.97%,12.58%,13.24%,11.58%,15.09%
49,Texas,11.07%,10.25%,11.95%,9.90%,8.61%,11.36%,26.36%,24.20%,28.64%,8.54%,7.61%,9.57%,11.21%,10.33%,12.16%
50,Utah,10.87%,9.46%,12.46%,8.81%,6.94%,11.13%,24.23%,20.94%,27.85%,8.26%,6.78%,10.03%,11.16%,9.65%,12.88%
51,Vermont,25.33%,22.99%,27.83%,20.69%,17.62%,24.13%,51.44%,46.84%,56.00%,21.27%,18.63%,24.17%,25.71%,23.23%,28.36%
52,Virginia,11.93%,10.68%,13.30%,10.69%,8.89%,12.81%,31.48%,28.31%,34.84%,8.99%,7.68%,10.49%,12.05%,10.74%,13.51%
53,Washington,23.48%,21.32%,25.79%,16.11%,13.45%,19.18%,44.50%,40.44%,48.65%,21.16%,18.71%,23.84%,24.18%,21.87%,26.64%
54,West Virginia,14.39%,12.66%,16.31%,11.42%,9.33%,13.91%,30.39%,26.45%,34.63%,12.40%,10.53%,14.55%,14.65%,12.83%,16.68%
55,Wisconsin,13.58%,11.93%,15.42%,11.66%,9.64%,14.02%,30.66%,26.91%,34.68%,11.04%,9.27%,13.09%,13.77%,12.02%,15.73%
56,Wyoming,13.08%,11.40%,14.98%,12.53%,10.25%,15.23%,30.40%,26.52%,34.58%,10.49%,8.67%,12.63%,13.14%,11.35%,15.17%
